codigo;produto;quantidade;preco;localizacao
QRS7890;Webcam Logitech C920s Pro HD;19;90.00;Curitiba
TUV1234;Headset Gamer Razer BlackShark V2 X;22;70.00;Salvador
WXY5678;Controle Xbox Wireless;16;60.00;Brasília
ZAB9012;Carregador Portátil Anker PowerCore 20000mAh;24;40.00;Recife
CDE3456;Leitor de Livros Digitais Kindle Paperwhite;26;130.00;Manaus
FGH7890;Chromecast com Google TV;20;80.00;Belém
ABC1234;Smartphone Galaxy S23;14;1200.00;Goiânia
DEF5678;Notebook Dell XPS 13;9;1500.00;Fortaleza
GHI9012;Smartwatch Apple Watch Series 8;24;400.00;Vitória
JKL3456;Tablet iPad Pro 12.9;12;1000.00;Florianópolis
MNO7890;Fone de Ouvido Sony WH-1000XM5;19;350.00;João Pessoa
PQR1234;Mouse Logitech MX Master 3S;29;80.00;Natal
STU5678;Teclado Mecânico HyperX Alloy FPS Pro;16;120.00;Aracaju
VWX9012;Monitor LG Ultrawide 34";11;600.00;Campo Grande
YZA3456;Impressora HP LaserJet Pro M15w;22;200.00;Cuiabá
BCD7890;Câmera GoPro HERO11 Black;13;450.00;Teresina
EFG1234;Roteador Wi-Fi 6 TP-Link Archer AX50;18;180.00;São Paulo
HIJ5678;SSD Externo Samsung T7 1TB;26;150.00;Curitiba
KLM9012;Pen Drive SanDisk Ultra Dual Drive Luxe 256GB;34;50.00;Salvador
NOP3456;Caixa de Som Bluetooth JBL Flip 6;15;100.00;Brasília
QRS7890;Webcam Logitech C920s Pro HD;20;90.00;Recife
TUV1234;Headset Gamer Razer BlackShark V2 X;23;70.00;Manaus
WXY5678;Controle Xbox Wireless;17;60.00;Belém
ZAB9012;Carregador Portátil Anker PowerCore 20000mAh;25;40.00;Goiânia
CDE3456;Leitor de Livros Digitais Kindle Paperwhite;27;130.00;Fortaleza
FGH7890;Chromecast com Google TV;21;80.00;Vitória
ABC1234;Smartphone Galaxy S23;15;1200.00;Florianópolis
DEF5678;Notebook Dell XPS 13;10;1500.00;João Pessoa
GHI9012;Smartwatch Apple Watch Series 8;25;400.00;Natal
JKL3456;Tablet iPad Pro 12.9;13;1000.00;Aracaju
MNO7890;Fone de Ouvido Sony WH-1000XM5;20;350.00;Campo Grande
PQR1234;Mouse Logitech MX Master 3S;30;80.00;Cuiabá
STU5678;Teclado Mecânico HyperX Alloy FPS Pro;17;120.00;Teresina
VWX9012;Monitor LG Ultrawide 34";12;600.00;São Paulo
YZA3456;Impressora HP LaserJet Pro M15w;23;200.00;Curitiba
BCD7890;Câmera GoPro HERO11 Black;14;450.00;Salvador
EFG1234;Roteador Wi-Fi 6 TP-Link Archer AX50;19;180.00;Brasília
HIJ5678;SSD Externo Samsung T7 1TB;27;150.00;Recife
KLM9012;Pen Drive SanDisk Ultra Dual Drive Luxe 256GB;35;50.00;Manaus
NOP3456;Caixa de Som Bluetooth JBL Flip 6;16;100.00;Belém
QRS7890;Webcam Logitech C920s Pro HD;21;90.00;Goiânia
TUV1234;Headset Gamer Razer BlackShark V2 X;24;70.00;Fortaleza
WXY5678;Controle Xbox Wireless;18;60.00;Vitória
ZAB9012;Carregador Portátil Anker PowerCore 20000mAh;26;40.00;Florianópolis
CDE3456;Leitor de Livros Digitais Kindle Paperwhite;28;130.00;João Pessoa
FGH7890;Chromecast com Google TV;22;80.00;Natal
ABC1234;Smartphone Galaxy S23;16;1200.00;Aracaju
DEF5678;Notebook Dell XPS 13;11;1500.00;Campo Grande
GHI9012;Smartwatch Apple Watch Series 8;26;400.00;Cuiabá
JKL3456;Tablet iPad Pro 12.9;14;1000.00;Teresina
MNO7890;Fone de Ouvido Sony WH-1000XM5;21;350.00;São Paulo
PQR1234;Mouse Logitech MX Master 3S;31;80.00;Curitiba
STU5678;Teclado Mecânico HyperX Alloy FPS Pro;18;120.00;Salvador
VWX9012;Monitor LG Ultrawide 34";13;600.00;Brasília
YZA3456;Impressora HP LaserJet Pro M15w;24;200.00;Recife
BCD7890;Câmera GoPro HERO11 Black;15;450.00;Manaus
EFG1234;Roteador Wi-Fi 6 TP-Link Archer AX50;20;180.00;Belém
HIJ5678;SSD Externo Samsung T7 1TB;28;150.00;Goiânia
KLM9012;Pen Drive SanDisk Ultra Dual Drive Luxe 256GB;36;50.00;Fortaleza
NOP3456;Caixa de Som Bluetooth JBL Flip 6;17;100.00;Vitória
QRS7890;Webcam Logitech C920s Pro HD;22;90.00;Florianópolis
TUV1234;Headset Gamer Razer BlackShark V2 X;25;70.00;João Pessoa
WXY5678;Controle Xbox Wireless;19;60.00;Natal
ZAB9012;Carregador Portátil Anker PowerCore 20000mAh;27;40.00;Aracaju
CDE3456;Leitor de Livros Digitais Kindle Paperwhite;29;130.00;Campo Grande
FGH7890;Chromecast com Google TV;23;80.00;Cuiabá
ABC1234;Smartphone Galaxy S23;17;1200.00;Teresina
DEF5678;Notebook Dell XPS 13;12;1500.00;São Paulo
GHI9012;Smartwatch Apple Watch Series 8;27;400.00;Curitiba
JKL3456;Tablet iPad Pro 12.9;15;1000.00;Salvador
MNO7890;Fone de Ouvido Sony WH-1000XM5;22;350.00;Brasília
PQR1234;Mouse Logitech MX Master 3S;32;80.00;Recife
STU5678;Teclado Mecânico HyperX Alloy FPS Pro;19;120.00;Manaus
VWX9012;Monitor LG Ultrawide 34";14;600.00;Belém
YZA3456;Impressora HP LaserJet Pro M15w;25;200.00;Goiânia
BCD7890;Câmera GoPro HERO11 Black;16;450.00;Fortaleza
EFG1234;Roteador Wi-Fi 6 TP-Link Archer AX50;21;180.00;Vitória
HIJ5678;SSD Externo Samsung T7 1TB;29;150.00;Florianópolis
KLM9012;Pen Drive SanDisk Ultra Dual Drive Luxe 256GB;37;50.00;João Pessoa
NOP3456;Caixa de Som Bluetooth JBL Flip 6;18;100.00;Natal
QRS7890;Webcam Logitech C920s Pro HD;23;90.00;Aracaju
TUV1234;Headset Gamer Razer BlackShark V2 X;26;70.00;Campo Grande
WXY5678;Controle Xbox Wireless;20;60.00;Cuiabá
ZAB9012;Carregador Portátil Anker PowerCore 20000mAh;28;40.00;Teresina
CDE3456;Leitor de Livros Digitais Kindle Paperwhite;30;130.00;São Paulo
FGH7890;Chromecast com Google TV;24;80.00;Curitiba
ABC1234;Smartphone Galaxy S23;18;1200.00;Salvador
DEF5678;Notebook Dell XPS 13;13;1500.00;Brasília
GHI9012;Smartwatch Apple Watch Series 8;28;400.00;Recife
JKL3456;Tablet iPad Pro 12.9;16;1000.00;Manaus
MNO7890;Fone de Ouvido Sony WH-1000XM5;23;350.00;Belém
PQR1234;Mouse Logitech MX Master 3S;33;80.00;Goiânia
STU5678;Teclado Mecânico HyperX Alloy FPS Pro;20;120.00;Fortaleza
VWX9012;Monitor LG Ultrawide 34";15;600.00;Vitória
YZA3456;Impressora HP LaserJet Pro M15w;26;200.00;Florianópolis
BCD7890;Câmera GoPro HERO11 Black;17;450.00;João Pessoa
EFG1234;Roteador Wi-Fi 6 TP-Link Archer AX50;22;180.00;Natal
HIJ5678;SSD Externo Samsung T7 1TB;30;150.00;Aracaju
KLM9012;Pen Drive SanDisk Ultra Dual Drive Luxe 256GB;38;50.00;Campo Grande
